Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
MSC LUCY,Panama,3EBC5,Container Ship,Cargo ship (HAZ-A),2005,89954,89954,325 / 43
HL PYEONGTAEK,Korea,DSQF9,LNG Tanker,Tanker,1995,89956,89956,264 / 43
GLOBAL ENTERPRISE,Panama,3FCJ6,Bulk Carrier,Unknown,2010,89891,89891,289 / 45
CAPE VENI,Cyprus,C4UU2,Bulk Carrier,Cargo ship,2007,89985,89985,290 / 45
MV C.UTOPIA,Korea,DSPP8,Bulk Carrier,Cargo ship,2007,89985,89985,289 / 45
MANGAS,Cyprus,5BED3,Bulk Carrier,Cargo ship,2011,89985,89985,289 / 45
SUCCESSOR,Cyprus,C4SZ2,Bulk Carrier,Cargo ship,2007,89985,89985,290 / 45
CMA CGM FIGARO,France,FNUS,Container Ship,Cargo ship (HAZ-B),2010,89787,89787,334 / 43
ALPHA FAITH,Greece,SVAA5,Bulk Carrier,Cargo ship,2008,89990,89990,292 / 45
JEWEL OF THE SEAS,Bahamas,C6FW9,Passenger (Cruise) Ship,Passenger ship,2004,90090,90090,293 / 40
EKATERINI,Cyprus,5BHQ3,Bulk Carrier,Cargo ship,2012,89985,89985,289 / 45
CASTILLO DE CATOIRA,Bahamas,C6VI6,Bulk Carrier,Cargo ship,2005,89659,89659,289 / 45
BRILLIANCE OF SEAS,Bahamas,C6SJ5,Passenger (Cruise) Ship,Passenger ship,2002,90090,90090,292 / 40
SERENADE OF THE SEAS,Bahamas,C6FV8,Passenger (Cruise) Ship,Passenger ship,2003,90090,90090,293 / 40
WINNING LOYALTY,Singapore,9V3699,Bulk Carrier,Cargo ship,2004,90091,90091,289 / 45
STAR MARTHA,Marshall Islands,V7TY3,Bulk Carrier,Cargo ship,2010,90095,90095,289 / 45
MARAN MERCHANT,Greece,SVBB2,Bulk Carrier,Cargo ship,2010,90104,90104,292 / 45
MARAN ASTRONOMER,Greece,SVBL6,Bulk Carrier,Cargo ship,2012,90104,90104,292 / 45
STAR PAULINE,Liberia,D5VO8,Bulk Carrier,Cargo ship,2008,90095,90095,289 / 45
MOUNT OPHIR,Liberia,D5GB6,Bulk Carrier,Cargo ship,2004,90286,90286,289 / 45
SEAMAX FAIRFIELD,Marshall Islands,V7HU7,Container Ship,Cargo ship,2006,90389,90389,336 / 43
PHOEBE,Liberia,D5WO7,Container Ship,Cargo ship,2005,90449,90449,334 / 43
